철도운영기관명,선명,역명,지상지하구분,역층,상세위치,소화기종류,보유대수
대구교통공사,1호선,해안,지하,3,방촌역방향 승강장,분말소화기,5
대구교통공사,1호선,현충로,지하,1,(B1) 대합실,분말소화기,2
대구교통공사,1호선,현충로,지하,2,안지랑역방향 승강장,분말소화기,5
대구교통공사,1호선,현충로,지하,2,영대병원역방향 승강장,분말소화기,5
대구교통공사,1호선,화원,지하,3,설화명곡역방향 승강장,분말소화기,8
대구교통공사,1호선,화원,지하,3,안심역방향 승강장,분말소화기,8
대구교통공사,1호선,화원,지하,2,(B2) 대합실,분말소화기,3
대구교통공사,1호선,화원,지하,1,(B1) 대합실,분말소화기,9
대구교통공사,1호선,대구한의대병원,지상,1,(F1)대합실,분말소화기,7
대구교통공사,1호선,대구한의대병원,지하,1,(B1)연결통로,분말소화기,2
대구교통공사,1호선,대구한의대병원,지상,1,(F1)안심방면승강장,분말소화기,3
대구교통공사,1호선,대구한의대병원,지상,1,(F1)부호방면승강장,분말소화기,3
대구교통공사,1호선,대구역,지하,3,칠성시장역방향 승강장,분말소화기,5
대구교통공사,1호선,대구역,지하,3,중앙로역방향 승강장,분말소화기,5
대구교통공사,1호선,대명,지하,2,서부정류장역방향 승강장,분말소화기,5
대구교통공사,1호선,대명,지하,2,안지랑역방향 승강장,분말소화기,5
대구교통공사,1호선,대명,지하,1,(B1) 대합실,분말소화기,3
대구교통공사,1호선,동대구역,지하,3,신천역방향 승강장,분말소화기,5
대구교통공사,1호선,동대구역,지하,3,동구청역방향 승강장,분말소화기,5
대구교통공사,1호선,동대구역,지하,1,(B1) 대합실,분말소화기,8
대구교통공사,1호선,동촌,지하,1,(B1) 대합실,분말소화기,1
대구교통공사,1호선,동촌,지하,2,(B2) 대합실,분말소화기,2
대구교통공사,1호선,동촌,지하,3,(B3) 대합실,분말소화기,3
대구교통공사,1호선,동촌,지하,4,아양교역방향 승강장,분말소화기,5
대구교통공사,1호선,동촌,지하,4,해안역방향 승강장,분말소화기,5
대구교통공사,1호선,명덕(2.28민주운동기념회관),지하,2,교대역방향 승강장,분말소화기,5
대구교통공사,1호선,명덕(2.28민주운동기념회관),지하,2,반월당역방향 승강장,분말소화기,5
대구교통공사,1호선,명덕(2.28민주운동기념회관),지하,1,(B1) 대합실,분말소화기,2
대구교통공사,1호선,반야월,지하,1,(B1) 대합실,분말소화기,4
대구교통공사,1호선,반야월,지하,2,신기역방향 승강장,분말소화기,5
대구교통공사,1호선,반야월,지하,2,각산역방향 승강장,분말소화기,5
대구교통공사,1호선,반월당,지하,2,(B2) 대합실,분말소화기,4
대구교통공사,1호선,반월당,지하,3,명덕역방향 승강장,분말소화기,6
대구교통공사,1호선,반월당,지하,3,중앙로역방향 승강장,분말소화기,6
대구교통공사,1호선,방촌,지하,1,(B1) 대합실,분말소화기,2
대구교통공사,1호선,부호,지상,1,(F1)대합실,분말소화기,8
대구교통공사,1호선,부호,지상,2,(F2)대구한의대역 방향 승강장,분말소화기,3
대구교통공사,1호선,부호,지상,2,(F2)하양역 방향 승강장,분말소화기,3
대구교통공사,1호선,하양,지상,1,(F1)대합실,분말소화기,12
대구교통공사,1호선,하양,지상,2,(F2)부호역 방향 승강장,분말소화기,3
대구교통공사,1호선,하양,지상,2,(F2)하양역 방향 승강장,분말소화기,3
대구교통공사,1호선,각산,지하,2,반야월역방향 승강장,분말소화기,5
대구교통공사,1호선,각산,지하,2,안심역방향 승강장,분말소화기,5
대구교통공사,1호선,각산,지하,1,(B1) 대합실,분말소화기,2
대구교통공사,1호선,교대,지하,3,명곡역방향 승강장,분말소화기,5
대구교통공사,1호선,교대,지하,3,영대병원역방향 승강장,분말소화기,5
